// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:2018/06/14 08:42:18
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ171-CAD
SondeNo=0327
SensorType=D0D1T1C1C2K0U3O0TOP0TP
SensorType2=0303030303030303030303
Channel=11
Comment=

PreHeat=1000
Interval=500
SampleCnt=104

StartTime=2018/06/14 08:42:18
EndTime=2018/06/14 08:43:11

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=-0.044
StartDepthA=0.00230936996348808
StartDepthB=0.00344098953315201

FilmNo=175017BA
UseMicroMol=0

CoefDate=2018/02/16

Ch1=-7.29620400e-02,2.205624000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.57614800e00,1.063559000e-03,-1.20319500e-08,2.641390000e-13,-2.96643400e-18,2.108821000e-23,0.000000000e00,0.000000000e00,
Ch4=4.168368000e-02,3.779582000e01,-5.03758500e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03026400e00,7.575699000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.12971300e00,1.394000000e-02,6.303629000e-08,4.086758000e-14,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.31887200e01,2.153616000e06,-5.54475900e03,9.310000000e-03,4.500000000e-03,-1.08000000e-05,0.000000000e00,1.000000000e00,
Ch9=-5.50969300e00,1.065503000e-03,-1.22973600e-08,2.789249000e-13,-3.31159600e-18,2.392133000e-23,0.000000000e00,0.000000000e00,
Ch10=7.131110000e00,2.616428000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.01897200e00,1.743590000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
観測日時,深度 [m],水温 [℃],塩分,電導度 [mS/cm],EC25 [μS/cm],密度 [kg/m3],シグマＴ,Chl-Flu. [ppb],Chl-a [μg/l],濁度 [FTU],pH,DO [%],DO [mg/l],マーク,
2018/06/14 8:42:18,0.002,18.751,29.363,39.867,46221.0,1020.780,20.780,2.129,2.129,0.828,5.744,112.525,8.789,0,
2018/06/14 8:42:18,0.096,18.743,29.364,39.861,46223.6,1020.783,20.782,2.227,2.227,0.814,5.744,112.607,8.797,0,
2018/06/14 8:42:19,0.202,18.736,29.380,39.874,46248.3,1020.798,20.797,2.258,2.258,1.234,5.744,112.606,8.797,0,
2018/06/14 8:42:19,0.343,18.740,29.359,39.853,46217.6,1020.781,20.779,2.235,2.235,0.828,5.744,113.312,8.853,0,
2018/06/14 8:42:20,0.495,18.744,29.348,39.842,46200.9,1020.772,20.770,2.189,2.189,0.912,5.744,113.558,8.872,0,
2018/06/14 8:42:20,0.609,18.746,29.354,39.851,46208.8,1020.776,20.774,2.273,2.273,0.799,5.744,113.414,8.860,0,
2018/06/14 8:42:21,0.660,18.744,29.359,39.856,46217.2,1020.781,20.778,2.318,2.318,0.785,5.744,113.448,8.863,0,
2018/06/14 8:42:21,0.790,18.739,29.363,39.857,46223.3,1020.786,20.782,2.394,2.394,0.870,5.744,113.432,8.862,0,
2018/06/14 8:42:22,0.982,18.742,29.347,39.840,46200.2,1020.774,20.770,2.288,2.288,0.814,5.744,113.608,8.876,0,
2018/06/14 8:42:22,1.099,18.739,29.361,39.854,46220.7,1020.786,20.781,2.432,2.432,0.828,5.744,113.653,8.879,0,
2018/06/14 8:42:23,1.147,18.731,29.378,39.867,46245.7,1020.801,20.796,2.439,2.439,0.799,5.744,113.677,8.881,0,
2018/06/14 8:42:23,1.191,18.733,29.377,39.869,46244.3,1020.800,20.795,2.477,2.477,0.814,5.744,113.697,8.882,0,
2018/06/14 8:42:24,1.345,18.732,29.391,39.885,46264.0,1020.811,20.805,2.674,2.674,0.828,5.744,113.663,8.880,0,
2018/06/14 8:42:24,1.546,18.746,29.417,39.929,46299.6,1020.829,20.822,2.856,2.856,0.870,5.744,113.676,8.875,0,
2018/06/14 8:42:25,1.663,18.819,29.544,40.148,46466.4,1020.909,20.901,3.970,3.970,0.842,5.744,113.824,8.867,0,
2018/06/14 8:42:25,1.685,18.841,29.436,40.034,46309.9,1020.821,20.814,3.811,3.811,0.729,5.744,113.840,8.866,0,
2018/06/14 8:42:26,1.740,18.855,29.667,40.329,46632.7,1020.993,20.986,3.962,3.962,0.814,5.744,114.099,8.874,0,
2018/06/14 8:42:26,1.931,18.927,29.792,40.545,46796.8,1021.072,21.064,4.424,4.424,0.898,5.744,114.715,8.906,0,
2018/06/14 8:42:27,2.094,18.930,29.802,40.559,46810.0,1021.080,21.070,4.689,4.689,0.870,5.744,115.524,8.970,0,
2018/06/14 8:42:27,2.220,18.924,29.810,40.564,46822.8,1021.088,21.078,4.955,4.955,0.856,5.744,116.120,9.017,0,
2018/06/14 8:42:28,2.405,18.908,29.819,40.560,46838.0,1021.099,21.089,5.265,5.265,0.856,5.744,116.444,9.044,0,
2018/06/14 8:42:28,2.493,18.900,29.826,40.563,46850.0,1021.107,21.096,5.424,5.424,0.799,5.744,116.910,9.081,0,
2018/06/14 8:42:29,2.570,18.902,29.840,40.582,46869.7,1021.118,21.107,6.008,6.008,0.884,5.744,117.138,9.098,0,
2018/06/14 8:42:30,2.674,18.906,29.858,40.607,46893.6,1021.131,21.119,6.167,6.167,0.940,5.744,117.366,9.114,0,
2018/06/14 8:42:30,2.806,18.912,29.906,40.671,46961.2,1021.167,21.155,6.424,6.424,0.870,5.744,117.769,9.142,0,
2018/06/14 8:42:31,2.900,18.913,29.914,40.682,46972.3,1021.173,21.160,6.621,6.621,0.856,5.744,118.013,9.160,0,
2018/06/14 8:42:31,2.980,18.913,29.937,40.710,47004.4,1021.191,21.178,6.545,6.545,0.799,5.744,118.321,9.183,0,
2018/06/14 8:42:32,3.147,18.915,30.004,40.794,47099.0,1021.242,21.229,6.704,6.704,0.912,5.744,118.480,9.191,0,
2018/06/14 8:42:32,3.301,18.898,30.172,40.983,47337.8,1021.375,21.360,7.667,7.667,0.954,5.744,118.741,9.205,0,
2018/06/14 8:42:33,3.451,18.587,30.792,41.457,48267.3,1021.925,21.910,7.235,7.235,0.842,5.744,118.820,9.224,0,
2018/06/14 8:42:33,3.517,18.291,31.210,41.692,48911.7,1022.317,22.302,7.121,7.121,0.842,5.744,118.546,9.216,0,
2018/06/14 8:42:34,3.543,18.228,31.265,41.701,49001.1,1022.374,22.359,7.129,7.129,0.729,5.744,117.868,9.187,0,
2018/06/14 8:42:34,3.693,18.052,31.554,41.884,49441.7,1022.638,22.622,6.682,6.682,0.701,5.744,115.973,9.056,0,
2018/06/14 8:42:35,3.860,17.936,31.706,41.958,49678.8,1022.783,22.766,6.311,6.311,0.673,5.744,114.141,8.928,0,
2018/06/14 8:42:35,4.009,17.842,31.796,41.979,49825.1,1022.876,22.858,5.939,5.939,0.603,5.744,112.384,8.803,0,
2018/06/14 8:42:36,3.924,17.870,31.770,41.975,49783.2,1022.849,22.831,6.311,6.311,0.645,5.744,110.338,8.641,0,
2018/06/14 8:42:36,3.917,17.896,31.749,41.973,49747.5,1022.826,22.809,6.720,6.720,0.575,5.744,109.199,8.553,0,
2018/06/14 8:42:37,4.005,17.835,31.802,41.980,49835.6,1022.882,22.865,5.871,5.871,0.575,5.744,108.487,8.498,0,
