// AAQ-RINKO Series Data Processing Software
// Version 1.11
// File Date:2026/01/05 12:01:29
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=D-10

[Head]
SondeName=AAQ171-CAD
SondeNo=0328
SensorType=D0D1T1C1C2K0U3O0TOP0TP
SensorType2=0303030303030303030303
Channel=11
Comment=

PreHeat=1000
Interval=100
SampleCnt=464

StartTime=2026/01/05 09:09:52
EndTime=2026/01/05 09:10:39

DepAdjRho=1.0250
DepAdjRhoFlg=1

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.229207
StartDepthA=0
StartDepthB=0

StartPosition=----.----, ----.----
EndPosition=----.----, ----.----

FilmNo=241255BA
UseMicroMol=0

CoefDate=2025/05/27

Ch1=-6.63583300e-02,2.279624000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.55976000e00,1.068663000e-03,-1.25300000e-08,2.882681000e-13,-3.49266300e-18,2.534904000e-23,0.000000000e00,0.000000000e00,
Ch4=2.784703000e-02,3.685914000e01,2.624574000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.33982300e00,6.487029000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.36329500e00,1.419025000e-02,9.348176000e-08,-1.83087900e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.23570100e01,2.153332000e06,-5.51231900e03,1.016450000e-02,4.200000000e-03,5.326000000e-05,0.000000000e00,1.000000000e00,
Ch9=-5.79016500e00,1.069859000e-03,-1.28152300e-08,3.009329000e-13,-3.74326800e-18,2.715936000e-23,0.000000000e00,0.000000000e00,
Ch10=6.836748000e00,2.639268000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.22108300e00,1.742068000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
観測日時,深度 [m],水温 [℃],塩分,電導度 [mS/cm],EC25 [μS/cm],密度 [kg/m3],シグマＴ,Chl-Flu. [ppb],Chl-a [μg/l],濁度 [FTU],pH,DO [%],Weiss-DO [mg/l],G&G-DO [mg/l],B&K-DO [mg/l],
2026/01/05 09:09:52,0.045,12.902,31.478,37.160,50637.8,1023.685,23.685,2.452,2.452,0.472,7.526,92.252,8.013,8.019,8.018,
2026/01/05 09:09:52,0.050,12.855,31.485,37.126,50663.1,1023.700,23.700,2.355,2.355,0.558,7.526,92.258,8.004,8.009,8.009,
2026/01/05 09:09:52,0.048,12.863,31.503,37.152,50686.1,1023.712,23.712,2.368,2.368,0.515,7.526,92.403,8.020,8.025,8.025,
2026/01/05 09:09:52,0.045,12.869,31.502,37.157,50682.5,1023.710,23.710,2.426,2.426,0.472,7.526,92.446,8.030,8.035,8.035,
2026/01/05 09:09:52,0.043,12.875,31.520,37.181,50707.5,1023.723,23.723,2.303,2.303,0.458,7.526,92.391,8.027,8.033,8.032,
2026/01/05 09:09:52,0.039,12.882,31.517,37.184,50700.6,1023.719,23.719,2.381,2.381,0.429,7.526,92.357,8.027,8.032,8.032,
2026/01/05 09:09:52,0.032,12.888,31.516,37.187,50696.4,1023.717,23.717,2.056,2.056,0.415,7.526,92.295,8.019,8.025,8.024,
2026/01/05 09:09:52,0.027,12.893,31.522,37.199,50704.2,1023.721,23.721,1.823,1.823,0.429,7.526,92.190,8.005,8.010,8.010,
2026/01/05 09:09:52,0.023,12.899,31.519,37.202,50698.4,1023.718,23.718,1.946,1.946,0.458,7.526,92.165,8.001,8.006,8.006,
2026/01/05 09:09:52,0.020,12.908,31.501,37.190,50669.3,1023.702,23.702,1.979,1.979,0.501,7.526,92.229,8.005,8.010,8.010,
2026/01/05 09:09:53,0.023,12.911,31.500,37.191,50666.5,1023.700,23.700,1.751,1.751,0.472,7.526,92.278,8.008,8.013,8.013,
2026/01/05 09:09:53,0.029,12.912,31.501,37.193,50667.2,1023.701,23.701,1.732,1.732,0.472,7.526,92.307,8.009,8.015,8.014,
2026/01/05 09:09:53,0.048,12.914,31.511,37.206,50682.1,1023.709,23.708,1.713,1.713,0.458,7.526,92.272,8.004,8.010,8.009,
2026/01/05 09:09:53,0.077,12.918,31.541,37.242,50723.8,1023.731,23.731,2.004,2.004,0.458,7.526,92.312,8.004,8.010,8.009,
2026/01/05 09:09:53,0.088,12.921,31.534,37.236,50712.3,1023.725,23.724,1.894,1.894,0.487,7.526,92.361,8.007,8.013,8.012,
2026/01/05 09:09:53,0.111,12.917,31.530,37.228,50708.1,1023.723,23.722,2.011,2.011,0.472,7.526,92.417,8.012,8.017,8.017,
2026/01/05 09:09:53,0.134,12.907,31.521,37.211,50698.4,1023.718,23.717,1.959,1.959,0.458,7.526,92.458,8.020,8.025,8.025,
2026/01/05 09:09:53,0.141,12.908,31.523,37.214,50701.0,1023.719,23.719,2.335,2.335,0.444,7.526,92.386,8.014,8.019,8.019,
2026/01/05 09:09:53,0.152,12.917,31.518,37.216,50690.4,1023.713,23.713,2.141,2.141,0.429,7.526,92.371,8.012,8.017,8.017,
2026/01/05 09:09:53,0.175,12.917,31.391,37.082,50507.4,1023.616,23.615,1.966,1.966,0.472,7.526,92.331,8.014,8.019,8.019,
2026/01/05 09:09:54,0.193,12.880,31.118,36.758,50123.1,1023.411,23.410,1.816,1.816,0.544,7.526,92.385,8.032,8.037,8.037,
2026/01/05 09:09:54,0.206,12.813,31.145,36.729,50183.2,1023.445,23.444,1.901,1.901,0.558,7.526,92.390,8.037,8.043,8.042,
2026/01/05 09:09:54,0.229,12.779,31.185,36.741,50251.4,1023.482,23.481,1.751,1.751,0.487,7.526,92.310,8.039,8.044,8.044,
2026/01/05 09:09:54,0.252,12.780,31.231,36.791,50318.2,1023.518,23.517,1.803,1.803,0.458,7.526,92.243,8.037,8.042,8.042,
2026/01/05 09:09:54,0.297,12.774,31.172,36.723,50234.9,1023.474,23.473,1.771,1.771,0.458,7.526,92.227,8.041,8.046,8.045,
2026/01/05 09:09:54,0.338,12.762,31.100,36.635,50133.7,1023.420,23.419,1.940,1.940,0.458,7.526,92.236,8.040,8.046,8.045,
2026/01/05 09:09:54,0.376,12.725,31.032,36.532,50046.9,1023.375,23.373,1.875,1.875,0.487,7.526,92.237,8.042,8.047,8.047,
2026/01/05 09:09:54,0.397,12.691,31.009,36.479,50025.2,1023.364,23.363,1.537,1.537,0.501,7.526,92.248,8.050,8.055,8.055,
2026/01/05 09:09:54,0.433,12.670,31.016,36.467,50041.6,1023.374,23.372,1.576,1.576,0.501,7.526,92.170,8.050,8.055,8.055,
2026/01/05 09:09:54,0.467,12.661,31.083,36.531,50142.3,1023.428,23.426,1.531,1.531,0.472,7.526,92.065,8.043,8.048,8.048,
2026/01/05 09:09:55,0.492,12.659,31.141,36.590,50226.2,1023.473,23.471,1.823,1.823,0.487,7.526,92.023,8.038,8.043,8.043,
2026/01/05 09:09:55,0.517,12.656,31.188,36.636,50295.3,1023.510,23.507,1.836,1.836,0.515,7.526,92.059,8.039,8.044,8.044,
2026/01/05 09:09:55,0.592,12.662,31.242,36.700,50372.3,1023.551,23.548,2.180,2.180,0.487,7.526,92.040,8.030,8.035,8.035,
2026/01/05 09:09:55,0.612,12.691,31.327,36.814,50485.4,1023.611,23.608,1.855,1.855,0.501,7.526,92.041,8.021,8.026,8.026,
2026/01/05 09:09:55,0.640,12.732,31.319,36.842,50462.1,1023.598,23.595,1.927,1.927,0.544,7.526,92.136,8.025,8.030,8.030,
2026/01/05 09:09:55,0.662,12.782,31.283,36.848,50393.1,1023.560,23.557,1.713,1.713,0.515,7.526,92.133,8.026,8.031,8.031,
2026/01/05 09:09:55,0.676,12.815,31.259,36.852,50348.0,1023.535,23.532,1.544,1.544,0.487,7.526,92.122,8.029,8.034,8.034,
2026/01/05 09:09:55,0.689,12.815,31.261,36.854,50351.6,1023.537,23.534,1.777,1.777,0.472,7.526,92.098,8.030,8.036,8.035,
2026/01/05 09:09:55,0.721,12.797,31.248,36.824,50338.5,1023.531,23.527,1.881,1.881,0.530,7.526,92.050,8.031,8.036,8.035,
2026/01/05 09:09:55,0.757,12.770,31.045,36.585,50051.6,1023.378,23.375,1.693,1.693,0.544,7.526,92.023,8.043,8.048,8.048,
2026/01/05 09:09:56,0.803,12.670,30.982,36.432,49992.8,1023.349,23.346,1.511,1.511,0.515,7.526,91.959,8.047,8.052,8.052,
2026/01/05 09:09:56,0.830,12.636,31.014,36.435,50049.8,1023.381,23.377,1.499,1.499,0.530,7.526,91.975,8.049,8.054,8.054,
2026/01/05 09:09:56,0.857,12.616,31.014,36.418,50055.3,1023.384,23.380,1.622,1.622,0.515,7.526,91.946,8.048,8.053,8.052,
2026/01/05 09:09:56,0.882,12.606,31.017,36.413,50063.6,1023.389,23.385,1.654,1.654,0.501,7.526,91.905,8.045,8.050,8.049,
2026/01/05 09:09:56,0.916,12.600,31.021,36.412,50071.2,1023.393,23.389,1.589,1.589,0.515,7.525,91.836,8.040,8.045,8.044,
2026/01/05 09:09:56,0.962,12.603,31.078,36.475,50153.4,1023.437,23.433,1.596,1.596,0.501,7.526,91.812,8.034,8.039,8.039,
2026/01/05 09:09:56,1.007,12.619,31.172,36.588,50284.8,1023.507,23.502,1.609,1.609,0.472,7.525,91.773,8.022,8.027,8.027,
2026/01/05 09:09:56,1.080,12.654,31.077,36.518,50135.5,1023.427,23.422,1.466,1.466,0.458,7.525,91.867,8.033,8.038,8.037,
2026/01/05 09:09:56,1.118,12.652,31.035,36.472,50074.3,1023.394,23.389,1.615,1.615,0.544,7.525,91.782,8.026,8.031,8.031,
2026/01/05 09:09:56,1.154,12.647,31.097,36.533,50166.4,1023.444,23.439,2.017,2.017,0.558,7.525,91.761,8.020,8.026,8.025,
2026/01/05 09:09:57,1.195,12.656,31.692,37.170,51026.8,1023.903,23.898,2.387,2.387,0.515,7.525,91.742,7.984,7.989,7.989,
2026/01/05 09:09:57,1.243,12.733,31.962,37.523,51392.2,1024.098,24.092,2.134,2.134,0.487,7.525,91.652,7.945,7.950,7.950,
